pH,Moisture,Nitrogen,SoilType,Crop
5.62,61.36,1.93,Sandy,Maize
9.66,16.73,9.12,Clay,Maize
8.12,22.93,5.55,Clay,Maize
7.19,81.88,8.44,Sandy,Maize
4.09,58.51,3.88,Clay,Maize
4.09,10.74,9.06,Sandy,Maize
3.41,18.12,4.5,Clay,Maize
9.06,63.08,1.1,Sandy,Maize
7.21,10.4,9.15,Sandy,Maize
7.96,22.86,1.82,Sandy,Maize
3.14,53.9,3.87,Clay,Maize
9.79,65.35,9.55,Clay,Maize
8.83,62.16,9.56,Clay,Maize
4.49,27.94,6.16,Sandy,Maize
4.27,66.97,6.69,Clay,Maize
4.28,28.98,5.04,Clay,Maize
5.13,36.03,3.64,Sandy,Maize
6.67,69.72,3.96,Loam,Maize
6.02,61.97,7.05,Sandy,Maize
5.04,77.94,7.77,Clay,Wheat
7.28,62.61,8.12,Sandy,Maize
3.98,55.46,8.11,Loam,Maize
5.05,17.49,1.82,Sandy,Maize
5.56,39.42,5.45,Clay,Wheat
6.19,31.22,1.52,Loam,Maize
8.5,29.52,5.95,Clay,Maize
4.4,87.84,4.97,Loam,Rice
6.6,41.45,8.99,Loam,Maize
7.15,81.36,4.16,Sandy,Maize
3.33,60.49,2.05,Sandy,Maize
7.25,73.58,2.29,Clay,Maize
4.19,50.21,7.85,Sandy,Maize
3.46,56.15,6.56,Sandy,Maize
9.64,49.4,1.91,Loam,Maize
9.76,25.62,1.76,Sandy,Maize
8.66,67.8,7.31,Loam,Maize
5.13,32.46,1.65,Loam,Maize
3.68,11.95,8.4,Loam,Maize
7.79,61.64,7.36,Clay,Maize
6.08,24.17,1.73,Clay,Maize
3.85,85.24,1.76,Clay,Maize
6.47,86.31,9.88,Loam,Maize
3.24,83.19,4.37,Clay,Maize
9.37,39.61,4.34,Clay,Maize
4.81,11.24,8.32,Sandy,Maize
7.64,84.27,9.53,Clay,Maize
5.18,44.25,9.87,Clay,Wheat
6.64,87.33,7.78,Loam,Maize
6.83,87.09,4.39,Loam,Maize
4.29,78.24,1.75,Loam,Rice
9.79,33.56,7.99,Loam,Maize
8.43,40.81,6.03,Loam,Maize
9.58,78.09,4.82,Loam,Maize
9.26,35.35,9.16,Clay,Maize
7.19,23.56,2.0,Loam,Maize
9.45,54.54,5.43,Loam,Maize
3.62,84.89,1.1,Sandy,Maize
4.37,65.68,5.22,Clay,Maize
3.32,55.6,1.51,Clay,Maize
5.28,17.77,2.07,Clay,Maize
5.72,59.2,2.06,Loam,Maize
4.9,89.2,6.84,Loam,Rice
8.8,21.21,7.71,Loam,Maize
5.5,51.47,6.25,Sandy,Maize
4.97,80.19,9.66,Loam,Rice
6.8,69.26,4.37,Sandy,Maize
3.99,65.76,3.57,Clay,Maize
8.62,66.2,8.82,Loam,Maize
3.52,38.76,3.01,Sandy,Maize
9.91,33.49,9.67,Sandy,Maize
8.41,74.75,1.11,Loam,Maize
4.39,74.81,9.73,Clay,Maize
3.04,79.37,1.39,Clay,Maize
8.71,83.06,9.02,Clay,Maize
7.95,50.91,5.75,Sandy,Maize
8.1,50.12,9.94,Sandy,Maize
8.4,73.86,1.66,Sandy,Maize
3.52,62.0,5.98,Sandy,Maize
5.51,66.16,9.72,Clay,Wheat
3.81,73.66,5.71,Loam,Rice
9.04,81.2,6.66,Sandy,Maize
7.36,37.04,7.26,Sandy,Maize
5.32,40.05,5.09,Clay,Wheat
3.44,17.52,6.65,Loam,Maize
5.18,56.26,6.26,Loam,Maize
5.28,12.88,9.11,Clay,Wheat
8.11,47.25,1.41,Clay,Maize
7.46,53.41,3.53,Loam,Maize
9.21,32.92,9.55,Sandy,Maize
6.31,57.27,9.01,Loam,Maize
3.84,12.44,5.1,Clay,Maize
7.99,12.99,6.58,Sandy,Maize
8.33,75.81,3.5,Sandy,Maize
6.93,38.82,2.69,Clay,Maize
8.4,20.16,5.17,Clay,Maize
6.46,51.78,4.18,Clay,Maize
6.66,71.6,6.25,Loam,Maize
5.99,27.27,1.7,Loam,Maize
3.18,59.83,9.77,Sandy,Maize
3.76,16.83,9.88,Clay,Maize
3.22,14.13,7.28,Sandy,Maize
7.45,52.51,5.82,Sandy,Maize
5.2,53.25,3.79,Sandy,Maize
6.56,60.99,8.32,Sandy,Maize
9.35,68.09,7.16,Clay,Maize
4.75,88.07,2.46,Sandy,Maize
5.87,51.3,9.2,Clay,Wheat
8.29,35.84,8.4,Clay,Maize
4.6,73.61,9.55,Loam,Rice
3.54,31.67,7.53,Clay,Maize
5.03,45.12,6.52,Loam,Maize
4.13,16.28,4.76,Clay,Maize
9.51,12.03,9.39,Clay,Maize
8.66,87.01,8.79,Clay,Maize
7.43,76.88,1.41,Loam,Maize
9.1,65.68,1.24,Loam,Maize
